obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"=""""","=""""","=""93.7803468734""","=""0.0000000006""","=""""","=""106632.1498416""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""106632.1498416""","=""1s""","=""2S""","=""1/2""","=""6s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
"=""93.7814""","=""0.0014""","=""93.780331""","=""0.000004""","=""0.0011""","=""106631.0""","=""19000""","=""1.6440e-02""","=""7.8035e-03""","=""4.8184e-02""","=""-1.80668""",AAA,"=""0.0000000000""","=""106632.1681""","=""1s""","=""2S""","=""1/2""","=""6""","=""""","=""""",2,72,,"=""T8637""","=""L8834""",
"=""94.9742""","=""0.0004""","=""94.97429095""","=""0.00000004""","=""-0.0001""","=""105291.7""","=""""","=""3.4375e-01""","=""9.2969e-03""","=""5.8137e-02""","=""-1.73063""",AAA,"=""0.0000000000""","=""105291.65209""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3545""",
"=""94.9742""","=""0.0004""","=""94.974287""","=""0.000005""","=""-0.0001""","=""105291.8""","=""33000""","=""4.1250e-02""","=""1.3945e-02""","=""8.7206e-02""","=""-1.55454""",AAA,"=""0.0000000000""","=""105291.657""","=""1s""","=""2S""","=""1/2""","=""5""","=""""","=""""",2,50,,"=""T8637""","=""L3545""",
"=""94.9742""","=""0.0004""","=""94.97431207""","=""0.00000004""","=""-0.0001""","=""105291.7""","=""""","=""3.4375e-01""","=""4.6485e-03""","=""2.9068e-02""","=""-2.03166""",AAA,"=""0.0000000000""","=""105291.62867""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3545""",
"=""94.974284001""","=""0.000000021""","=""94.974283997""","=""0.000000021""","=""0.000000004""","=""105291.659792""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[105291.659796]""","=""1s""","=""2S""","=""1/2""","=""5d""","=""2D""","=""5/2""",2,6,E2,"=""""","=""L15291c37""",
"=""94.97431001""","=""0.00000004""","=""94.97431003""","=""0.00000004""","=""-0.00000002""","=""105291.63096""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""[105291.63094]""","=""1s""","=""2S""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""L15291c36""",
"=""97.2517""","=""0.0014""","=""97.253650""","=""0.000011""","=""-0.0020""","=""102826.0""","=""83000""","=""1.2785e-01""","=""2.9006e-02""","=""1.8574e-01""","=""-1.23648""",AAA,"=""0.0000000000""","=""102823.904""","=""1s""","=""2S""","=""1/2""","=""4""","=""""","=""""",2,32,,"=""T8637""","=""L8834""",
"=""""","=""""","=""97.2536984969""","=""0.0000000003""","=""""","=""102823.8530211""","=""""","=""""","=""""","=""""","=""""",,"=""0.0000000000""","=""102823.8530211""","=""1s""","=""2S""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,M1,"=""""","=""""",
"=""97.2541""","=""0.0019""","=""97.2536594376""","=""0.0000000003""","=""0.0004""","=""102823.5""","=""""","=""6.8185e-01""","=""1.9337e-02""","=""1.2382e-01""","=""-1.41258""",AAA,"=""0.0000000000""","=""102823.8943175""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L8445""",
