element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,3,"=""48.3""","=""48.21066077""","=""0.00000020""","=""0.1""","=""207000""","=""""","=""6.3694e+00""","=""4.4389e-02""","=""1.4090e-01""","=""-1.05170""",AA,"=""(740734.34169)""","=""(948157.34398)""","=""2p""","=""2P*""","=""1/2""","=""5d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21106978""","=""0.00000020""","=""0.1""","=""207000""","=""""","=""3.4830e-01""","=""1.2137e-03""","=""3.8526e-03""","=""-2.61487""",AA,"=""(740734.34169)""","=""(948155.58428)""","=""2p""","=""2P*""","=""1/2""","=""5s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21114632""","=""0.00000021""","=""0.1""","=""207000""","=""""","=""4.0112e+00""","=""2.7955e-02""","=""8.8739e-02""","=""-1.25251""",AA,"=""(740736.4339)""","=""(948157.347169)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21158751""","=""0.00000021""","=""0.1""","=""207000""","=""""","=""4.0120e+00""","=""1.3981e-02""","=""4.4379e-02""","=""-1.55344""",AA,"=""(740736.4339)""","=""(948155.449056)""","=""2s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21740812""","=""0.00000021""","=""0.1""","=""207000""","=""""","=""7.6405e+00""","=""3.9946e-02""","=""2.5364e-01""","=""-0.79646""",AA,"=""(740764.0001941)""","=""(948157.97656)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21755519""","=""0.00000021""","=""0.1""","=""207000""","=""""","=""1.2733e+00""","=""4.4381e-03""","=""2.8180e-02""","=""-1.75074""",AA,"=""(740764.0001941)""","=""(948157.34398)""","=""2p""","=""2P*""","=""3/2""","=""5d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""L3698""",
Li,3,"=""48.3""","=""48.21796431""","=""0.00000021""","=""0.1""","=""207000""","=""""","=""6.9724e-01""","=""1.2151e-03""","=""7.7156e-03""","=""-2.31331""",AA,"=""(740764.0001941)""","=""(948155.58428)""","=""2p""","=""2P*""","=""3/2""","=""5s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""L3698""",
Li,3,"=""54.00""","=""53.9951127""","=""0.0000003""","=""0.00""","=""185200""","=""""","=""1.3937e+01""","=""1.2184e-01""","=""4.3315e-01""","=""-0.61319""",AA,"=""(740734.34169)""","=""(925936.28876)""","=""2p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""54.00""","=""53.9957209""","=""0.0000003""","=""0.00""","=""185200""","=""""","=""7.8369e+00""","=""6.8509e-02""","=""2.4357e-01""","=""-0.86322""",AA,"=""(740736.4339)""","=""(925936.294951)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""L7397""",
Li,3,"=""54.00""","=""53.9961148""","=""0.0000003""","=""0.00""","=""185200""","=""""","=""6.9685e-01""","=""3.0460e-03""","=""1.0829e-02""","=""-2.21525""",AA,"=""(740734.34169)""","=""(925932.85143)""","=""2p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""54.00""","=""53.9968018""","=""0.0000003""","=""0.00""","=""185200""","=""""","=""7.8390e+00""","=""3.4265e-02""","=""1.2182e-01""","=""-1.16412""",AA,"=""(740736.4339)""","=""(925932.587659)""","=""2s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""L7397""",
Li,3,"=""54.00""","=""54.0034006""","=""0.0000003""","="" 0.00""","=""185200""","=""""","=""1.6719e+01""","=""1.0965e-01""","=""7.7977e-01""","=""-0.35793""",AA,"=""(740764.0001941)""","=""(925937.52429)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""L7397""",
Li,3,"=""54.00""","=""54.0037609""","=""0.0000003""","="" 0.00""","=""185200""","=""""","=""2.7863e+00""","=""1.2182e-02""","=""8.6634e-02""","=""-1.31221""",AA,"=""(740764.0001941)""","=""(925936.28876)""","=""2p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""L7397""",
