element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(10^8 s^-1),fik,S(a.u.),log_gf,Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,1,"=""2190.439""","=""0.004""","=""2190.4359""","=""0.0011""","=""0.003""","=""4565.295""","=""5""","=""""","=""""","=""""","=""""",,"=""44259.182""","=""48824.4834""","=""3d5.(6S).5p""","=""w 5P*""","=""3""","=""3d4.4s.5s""","=""f 5D""","=""4""",7,9,,"=""""","=""L14866""",
Cr,1,"=""2204.686""","=""0.005""","=""2204.6840""","=""0.0004""","=""0.002""","=""4535.793""","=""3""","=""""","=""""","=""""","=""""",,"=""30965.3799""","=""35501.1774""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""3""","=""3d6""","=""c 5D""","=""3""",7,7,,"=""""","=""L14866""",
Cr,2,"=""2209.12315""","=""0.00015""","=""2209.1233""","=""0.0015""","=""-0.0002""","=""4526.6829""","=""6""","=""""","=""""","=""""","=""""",,"=""105285.3095""","=""109811.992""","=""3d4.(5D).6s""","=""6D""","=""5/2""","=""3d4.(5D).6p""","=""6F*""","=""7/2""",6,8,,"=""""","=""L18847""",
Cr,2,"=""2209.68223""","=""0.00019""","=""2209.6827""","=""0.0015""","=""-0.0005""","=""4525.5376""","=""4""","=""""","=""""","=""""","=""""",,"=""105168.7704""","=""109694.307""","=""3d4.(5D).6s""","=""6D""","=""3/2""","=""3d4.(5D).6p""","=""6F*""","=""5/2""",4,6,,"=""""","=""L18847""",
Cr,2,"=""2213.05188""","=""0.00010""","=""2213.0517""","=""0.0015""","=""0.0002""","=""4518.6469""","=""9""","=""""","=""""","=""""","=""""",,"=""105446.9938""","=""109965.641""","=""3d4.(5D).6s""","=""6D""","=""7/2""","=""3d4.(5D).6p""","=""6F*""","=""9/2""",8,10,,"=""""","=""L18847""",
Cr,2,"=""2220.51987""","=""0.00010""","=""2220.5199""","=""0.0015""","="" 0.0000""","=""4503.4499""","=""12""","=""""","=""""","=""""","=""""",,"=""105650.5251""","=""110153.975""","=""3d4.(5D).6s""","=""6D""","=""9/2""","=""3d4.(5D).6p""","=""6F*""","=""11/2""",10,12,,"=""""","=""L18847""",
Cr,1,"=""2234.766""","=""0.004""","=""2234.7638""","=""0.0007""","=""0.002""","=""4474.741""","=""4""","=""""","=""""","=""""","=""""",,"=""44186.7624""","=""48661.5083""","=""3d5.(6S).5p""","=""w 5P*""","=""2""","=""3d4.4s.5s""","=""f 5D""","=""3""",5,7,,"=""""","=""L14866""",
Cr,2,"=""2239.1363""","=""0.0005""","=""2239.1365""","=""0.0015""","=""-0.0002""","=""4466.0078""","=""1""","=""""","=""""","=""""","=""""",,"=""105098.8877""","=""109564.895""","=""3d4.(5D).6s""","=""6D""","=""1/2""","=""3d4.(5D).6p""","=""6F*""","=""1/2""",2,2,,"=""""","=""L18847""",
Cr,2,"=""2248.9506""","=""0.0005""","=""2248.9508""","=""0.0015""","=""-0.0002""","=""4446.5183""","=""4""","=""""","=""""","=""""","=""""",,"=""105650.5251""","=""110097.043""","=""3d4.(5D).6s""","=""6D""","=""9/2""","=""3d4.(5D).6p""","=""6P*""","=""7/2""",10,8,,"=""""","=""L18847""",
Cr,2,"=""2251.0379""","=""0.0003""","=""2251.0377""","=""0.0015""","=""0.0002""","=""4442.3952""","=""2""","=""""","=""""","=""""","=""""",,"=""105168.7704""","=""109611.166""","=""3d4.(5D).6s""","=""6D""","=""3/2""","=""3d4.(5D).6p""","=""6F*""","=""3/2""",4,4,,"=""""","=""L18847""",
Cr,1,"=""2255.970""","=""0.005""","=""2255.9672""","=""0.0010""","=""0.003""","=""4432.683""","=""2""","=""""","=""""","=""""","=""""",,"=""44125.7144""","=""48558.403""","=""3d5.(6S).5p""","=""w 5P*""","=""1""","=""3d4.4s.5s""","=""f 5D""","=""2""",3,5,,"=""""","=""L14866""",
Cr,2,"=""2263.5281""","=""0.0006""","=""2263.5275""","=""0.0015""","=""0.0006""","=""4417.8819""","=""1""","=""""","=""""","=""""","=""""",,"=""105446.9938""","=""109864.877""","=""3d4.(5D).6s""","=""6D""","=""7/2""","=""3d4.(5D).6p""","=""6P*""","=""5/2""",8,6,,"=""""","=""L18847""",
Cr,2,"=""2268.0891""","=""0.0004""","=""2268.0893""","=""0.0015""","=""-0.0002""","=""4408.9978""","=""2""","=""""","=""""","=""""","=""""",,"=""105285.3095""","=""109694.307""","=""3d4.(5D).6s""","=""6D""","=""5/2""","=""3d4.(5D).6p""","=""6F*""","=""5/2""",6,6,,"=""""","=""L18847""",
Cr,1,"=""2271.529""","=""0.005""","=""2271.5263""","=""0.0011""","=""0.003""","=""4402.321""","=""2""","=""""","=""""","=""""","=""""",,"=""44259.182""","=""48661.5083""","=""3d5.(6S).5p""","=""w 5P*""","=""3""","=""3d4.4s.5s""","=""f 5D""","=""3""",7,7,,"=""""","=""L14866""",
Cr,2,"=""2272.8766""","=""0.0005""","=""2272.8775""","=""0.0010""","=""-0.0009""","=""4399.7109""","=""1""","=""""","=""""","=""""","=""""",,"=""90850.9636""","=""95250.6728""","=""3d4.(5D).4d""","=""e 4F""","=""9/2""","=""3d4.(5D).5p""","=""4D*""","=""7/2""",10,8,,"=""""","=""L18847""",
Cr,1,"=""2275.3859""","=""0.0016""","=""2275.3851""","=""0.0006""","=""0.0008""","=""4394.859""","=""19""","=""""","=""""","=""""","=""""",,"=""31106.3170""","=""35501.1774""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d6""","=""c 5D""","=""3""",9,7,,"=""""","=""L14866""",
Cr,2,"=""2277.75236""","=""0.00016""","=""2277.7524""","=""0.0016""","="" 0.0000""","=""4390.2929""","=""7""","=""""","=""""","=""""","=""""",,"=""106275.1752""","=""110665.468""","=""3d4.(5D).6s""","=""4D""","=""7/2""","=""3d4.(5D).6p""","=""4F*""","=""9/2""",8,10,,"=""""","=""L18847""",
Cr,1,"=""2282.224""","=""0.005""","=""2282.2226""","=""0.0016""","=""0.001""","=""4381.691""","=""4""","=""""","=""""","=""""","=""""",,"=""44125.7144""","=""48507.408""","=""3d5.(6S).5p""","=""w 5P*""","=""1""","=""3d4.4s.5s""","=""f 5D""","=""1""",3,3,,"=""""","=""L14866""",
Cr,2,"=""2285.3553""","=""0.0002""","=""2285.3557""","=""0.0016""","=""-0.0004""","=""4375.6873""","=""3""","=""""","=""""","=""""","=""""",,"=""106095.6095""","=""110471.296""","=""3d4.(5D).6s""","=""4D""","=""5/2""","=""3d4.(5D).6p""","=""4F*""","=""7/2""",6,8,,"=""""","=""L18847""",
