,element,spectrum_number,wavelength_nm,intensity,log10_intensity,tags,visible
4452,Ar,2,906.07463,50.0,1.6989700043360187,None,False
4453,Ar,2,906.8023,44.0,1.6434526764861874,None,False
4454,Ar,1,907.5394,20.0,1.3010299956639813,None,False
4455,Ar,2,907.97072,15.0,1.1760912590556813,None,False
4456,Ar,2,909.51026,68.0,1.8325089127062364,None,False
4457,Ar,2,909.85743,40.0,1.6020599913279623,None,False
4458,Ar,2,910.65624,102.0,2.0086001717619175,None,False
4459,Ar,2,911.4348,6.0,0.7781512503836436,None,False
4460,Ar,1,912.2967,35000.0,4.544068044350276,None,False
4461,Ar,2,913.849,0.0,-inf,h,False
4462,Ar,2,915.082,1.0,0.0,None,False
4463,Ar,2,915.154,0.0,-inf,None,False
4464,Ar,2,915.60492,27.0,1.4313637641589874,None,False
4465,Ar,2,915.90316,17.0,1.2304489213782739,None,False
4466,Ar,2,916.8917,1.0,0.0,None,False
4467,Ar,2,919.1185,7.0,0.8450980400142568,None,False
4468,Ar,2,919.25919,31.0,1.4913616938342726,None,False
4469,Ar,1,919.4638,550.0,2.7403626894942437,None,False
4470,Ar,2,921.039,1.0,0.0,None,False
4471,Ar,2,921.89849,38.0,1.5797835966168101,None,False
4472,Ar,2,922.22677,10.0,1.0,None,False
4473,Ar,1,922.4499,15000.0,4.176091259055681,None,False
4474,Ar,2,925.2633,10.0,1.0,None,False
4475,Ar,2,925.8772,10.0,1.0,None,False
4476,Ar,2,927.97099,26.0,1.414973347970818,None,False
4477,Ar,1,929.1531,400.0,2.6020599913279625,None,False
4478,Ar,2,930.587,1.0,0.0,None,False
4479,Ar,2,931.351,1.0,0.0,None,False
4480,Ar,2,933.105,1.0,0.0,None,False
4481,Ar,2,933.598,0.0,-inf,None,False
4482,Ar,2,934.4803,7.0,0.8450980400142568,None,False
4483,Ar,1,935.422,1600.0,3.2041199826559246,None,False
4484,Ar,2,936.0466,1.0,0.0,l,False
4485,Ar,2,937.4163,3.0,0.47712125471966244,None,False
4486,Ar,2,939.201,0.0,-inf,?,False
4487,Ar,2,939.491,0.0,-inf,.5,False
4488,Ar,2,939.69,0.0,-inf,None,False
4489,Ar,2,941.8582,1.0,0.0,None,False
4490,Ar,2,942.04762,59.0,1.7708520116421442,None,False
4491,Ar,2,943.623,13.0,1.1139433523068367,None,False
4492,Ar,2,945.32,0.0,-inf,.5,False
4493,Ar,2,946.681,0.0,-inf,None,False
4494,Ar,2,946.828,0.0,-inf,.5,False
4495,Ar,2,947.52495,35.0,1.5440680443502757,None,False
4496,Ar,2,948.0877,7.0,0.8450980400142568,None,False
4497,Ar,2,949.098,0.0,-inf,.5,False
4498,Ar,2,950.046,0.0,-inf,None,False
4499,Ar,2,950.416,0.0,-inf,.5*,False
4500,Ar,2,950.416,0.0,-inf,.5*,False
4501,Ar,2,950.844,3.0,0.47712125471966244,None,False
4502,Ar,2,951.776,0.0,-inf,None,False
4503,Ar,2,952.404,0.0,-inf,.5,False
4504,Ar,2,952.639,1.0,0.0,None,False
4505,Ar,2,953.5655,34.0,1.5314789170422551,None,False
4506,Ar,2,954.06651,38.0,1.5797835966168101,None,False
4507,Ar,2,955.36308,36.0,1.5563025007672873,None,False
4508,Ar,2,956.684,0.0,-inf,None,False
4509,Ar,2,957.631,0.0,-inf,None,False
4510,Ar,2,958.6989,10.0,1.0,None,False
4511,Ar,2,959.9325,2.0,0.3010299956639812,None,False
4512,Ar,2,960.1925,110.0,2.041392685158225,None,False
4513,Ar,2,961.038,0.0,-inf,.5,False
4514,Ar,2,961.2508,2.0,0.3010299956639812,*,False
4515,Ar,2,961.2508,2.0,0.3010299956639812,*,False
4516,Ar,2,961.95765,56.0,1.7481880270062005,*,False
4517,Ar,2,961.95765,56.0,1.7481880270062005,*,False
4518,Ar,2,962.20663,68.0,1.8325089127062364,None,False
4519,Ar,2,962.32363,19.0,1.2787536009528289,None,False
4520,Ar,2,963.089,0.0,-inf,None,False
4521,Ar,2,963.841,0.0,-inf,?,False
4522,Ar,2,964.11882,15.0,1.1760912590556813,None,False
4523,Ar,2,964.33151,14.0,1.146128035678238,None,False
4524,Ar,2,965.59725,85.0,1.9294189257142926,None,False
4525,Ar,1,965.7786,25000.0,4.3979400086720375,None,False
4526,Ar,2,966.927,0.0,-inf,None,False
4527,Ar,2,967.521,0.0,-inf,.5,False
4528,Ar,2,967.6285,45.0,1.6532125137753437,bl,False
4529,Ar,2,967.88084,50.0,1.6989700043360187,None,False
4530,Ar,2,968.2219,6.0,0.7781512503836436,None,False
4531,Ar,2,968.416,0.0,-inf,None,False
4532,Ar,2,970.1515,1.0,0.0,None,False
4533,Ar,2,970.1963,10.0,1.0,None,False
4534,Ar,2,970.859,0.0,-inf,.5,False
4535,Ar,2,971.1768,12.0,1.0791812460476249,None,False
4536,Ar,2,971.31108,20.0,1.3010299956639813,None,False
4537,Ar,2,971.377,0.0,-inf,None,False
4538,Ar,2,972.6582,5.0,0.6989700043360189,None,False
4539,Ar,2,973.006,0.0,-inf,None,False
4540,Ar,2,973.4555,14.0,1.146128035678238,None,False
4541,Ar,2,973.97684,28.0,1.4471580313422192,None,False
4542,Ar,2,974.34566,93.0,1.968482948553935,bl,False
4543,Ar,2,975.0135,51.0,1.7075701760979363,None,False
4544,Ar,2,975.61415,85.0,1.9294189257142926,None,False
4545,Ar,2,975.86365,107.0,2.0293837776852097,None,False
4546,Ar,2,976.1851,10.0,1.0,None,False
4547,Ar,2,977.183,10.0,1.0,None,False
4548,Ar,2,977.35674,112.0,2.0492180226701815,None,False
4549,Ar,2,978.30786,102.0,2.0086001717619175,bl,False
4550,Ar,1,978.4503,4500.0,3.6532125137753435,None,False
4551,Ar,2,979.32307,28.0,1.4471580313422192,None,False
4552,Ar,2,980.20204,36.0,1.5563025007672873,bl,False
4553,Ar,2,980.36898,102.0,2.0086001717619175,None,False
4554,Ar,2,981.4421,28.0,1.4471580313422192,None,False
4555,Ar,2,981.71,0.0,-inf,None,False
4556,Ar,2,981.9174,9.0,0.9542425094393249,None,False
4557,Ar,2,982.46399,20.0,1.3010299956639813,None,False
4558,Ar,2,982.5832,8.0,0.9030899869919435,None,False
4559,Ar,2,982.9856,3.0,0.47712125471966244,None,False
4560,Ar,2,983.71699,21.0,1.3222192947339193,None,False
4561,Ar,2,984.94582,132.0,2.12057393120585,None,False
4562,Ar,2,985.4061,129.0,2.110589710299249,None,False
4563,Ar,2,988.714,0.0,-inf,?,False
4564,Ar,2,990.064,0.0,-inf,None,False
4565,Ar,2,990.429,1.0,0.0,None,False
4566,Ar,2,990.58859,87.0,1.9395192526186185,None,False
4567,Ar,2,990.63917,69.0,1.8388490907372552,None,False
4568,Ar,2,990.97166,11.0,1.0413926851582251,None,False
4569,Ar,2,991.4238,13.0,1.1139433523068367,None,False
4570,Ar,2,991.61552,79.0,1.8976270912904414,bl,False
4571,Ar,2,992.88329,20.0,1.3010299956639813,None,False
4572,Ar,2,993.16788,21.0,1.3222192947339193,None,False
4573,Ar,2,993.5046,1.0,0.0,None,False
4574,Ar,2,994.91504,68.0,1.8325089127062364,None,False
4575,Ar,2,995.10886,33.0,1.5185139398778875,None,False
4576,Ar,2,995.28051,54.0,1.7323937598229686,None,False
4577,Ar,2,995.822,0.0,-inf,None,False
4578,Ar,2,996.2314,1.0,0.0,None,False
